14_IO-APIC_14-edge_ata_piix_CPU1;LOC_Local_timer_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;ERR_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;6_IO-APIC_6-edge_floppy_CPU0;MCE_Machine_check_exceptions_CPU2;RTR_APIC_ICR_read_retries_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;LOC_Local_timer_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TRM_Thermal_event_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;NMI_Non-maskable_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;12_IO-APIC_12-edge_i8042_CPU1;TRM_Thermal_event_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;MCE_Machine_check_exceptions_CPU1;MCE_Machine_check_exceptions_CPU0;NPI_Nested_posted-interrupt_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;THR_Threshold_APIC_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PIN_Posted-interrupt_notification_event_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;SPU_Spurious_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;timestamp_us;PMI_Performance_monitoring_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;PMI_Performance_monitoring_interrupts_CPU0;TLB_TLB_shootdowns_CPU1;THR_Threshold_APIC_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;PIN_Posted-interrupt_notification_event_CPU2;1_IO-APIC_1-edge_i8042_CPU2;1_IO-APIC_1-edge_i8042_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;MCP_Machine_check_polls_CPU0;MCP_Machine_check_polls_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;RTR_APIC_ICR_read_retries_CPU2;THR_Threshold_APIC_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;MCP_Machine_check_polls_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;TLB_TLB_shootdowns_CPU0;PIN_Posted-interrupt_notification_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;NPI_Nested_posted-interrupt_event_CPU0;SPU_Spurious_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;MIS_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;12_IO-APIC_12-edge_i8042_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;CAL_Function_call_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;RES_Rescheduling_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;12_IO-APIC_12-edge_i8042_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;6_IO-APIC_6-edge_floppy_CPU2;LOC_Local_timer_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;TLB_TLB_shootdowns_CPU2;RTR_APIC_ICR_read_retries_CPU0;RES_Rescheduling_interrupts_CPU2
0;376228;0;0;0;2;0;0;56;0;373660;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37237;0;0;0;126160;0;0;0;50;0;0;0;0;0;0;0;0
0;376479;0;0;0;2;0;0;56;0;373911;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1001685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37237;0;0;0;126160;0;0;0;50;0;0;0;0;0;0;0;0
0;376731;0;0;0;2;0;0;56;0;374161;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37237;0;0;0;126160;0;0;0;50;0;0;0;0;0;0;0;0
0;376982;0;0;0;2;0;0;57;0;374411;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3003186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37242;0;0;0;126160;0;0;0;50;0;0;0;0;0;0;0;0
0;377234;0;0;0;2;0;0;58;0;374661;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4004201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;52;0;0;0;0;0;0;0;0
0;377485;0;0;0;2;0;0;59;0;374912;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5005216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;53;0;0;0;0;0;0;0;0
0;377736;0;0;0;2;0;0;60;0;375162;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6006231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;54;0;0;0;0;0;0;0;0
0;377987;0;0;0;2;0;0;60;0;375412;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7007177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;54;0;0;0;0;0;0;0;0
0;378238;0;0;0;2;0;0;60;0;375662;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8008189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;54;0;0;0;0;0;0;0;0
0;378489;0;0;0;2;0;0;60;0;375913;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9009203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;54;0;0;0;0;0;0;0;0
0;378740;0;0;0;2;0;0;60;0;376163;0;0;0;0;0;0;7;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10010216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;15;0;10528;10529;0;0;11;0;37245;0;0;0;126160;0;0;0;54;0;0;0;0;0;0;0;0
