32_PCI-MSI_32768-edge_virtio0-config_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;6_IO-APIC_6-edge_floppy_CPU2;IWI_IRQ_work_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;timestamp_us;NPI_Nested_posted-interrupt_event_CPU0;MCE_Machine_check_exceptions_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;PIN_Posted-interrupt_notification_event_CPU1;THR_Threshold_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;6_IO-APIC_6-edge_floppy_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;RES_Rescheduling_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;PMI_Performance_monitoring_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;IWI_IRQ_work_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;MIS_CPU0;6_IO-APIC_6-edge_floppy_CPU1;RTR_APIC_ICR_read_retries_CPU2;TLB_TLB_shootdowns_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;SPU_Spurious_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;RTR_APIC_ICR_read_retries_CPU1;CAL_Function_call_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;MCP_Machine_check_polls_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;ERR_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;PIN_Posted-interrupt_notification_event_CPU0;12_IO-APIC_12-edge_i8042_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;MCE_Machine_check_exceptions_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;CAL_Function_call_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;MCP_Machine_check_polls_CPU1;TLB_TLB_shootdowns_CPU0;TRM_Thermal_event_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;RTR_APIC_ICR_read_retries_CPU0;THR_Threshold_APIC_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;LOC_Local_timer_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;1_IO-APIC_1-edge_i8042_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU1;SPU_Spurious_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2
0;0;0;7;0;202080;0;0;89;0;0;0;0;36714;0;0;0;0;0;2;8;204040;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;202331;0;0;1001734;0;0;0;0;36714;0;0;0;0;0;2;8;204291;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;202581;0;0;2002758;0;0;0;0;36714;0;0;0;0;0;2;8;204543;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;202831;0;0;3003245;0;0;0;0;36719;0;0;0;0;0;2;8;204794;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;203081;0;0;4004261;0;0;0;0;36721;0;0;0;0;0;2;10;205046;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;203332;0;0;5005277;0;0;0;0;36721;0;0;0;0;0;2;11;205297;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;203582;0;0;6006294;0;0;0;0;36721;0;0;0;0;0;2;12;205548;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;203832;0;0;7007234;0;0;0;0;36721;0;0;0;0;0;2;12;205799;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;204082;0;0;8008250;0;0;0;0;36721;0;0;0;0;0;2;12;206050;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;204333;0;0;9009261;0;0;0;0;36721;0;0;0;0;0;2;12;206302;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;0;204583;0;0;10010283;0;0;0;0;36721;0;0;0;0;0;2;12;206553;15;0;0;0;0;11;9;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10528;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10529;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
