33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;IWI_IRQ_work_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;timestamp_us;RTR_APIC_ICR_read_retries_CPU1;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;ERR_CPU0;NMI_Non-maskable_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCP_Machine_check_polls_CPU0;TLB_TLB_shootdowns_CPU0;RTR_APIC_ICR_read_retries_CPU0;THR_Threshold_APIC_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;MCP_Machine_check_polls_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;1_IO-APIC_1-edge_i8042_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;RES_Rescheduling_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;LOC_Local_timer_interrupts_CPU0;MCE_Machine_check_exceptions_CPU1;12_IO-APIC_12-edge_i8042_CPU1;CAL_Function_call_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;PIN_Posted-interrupt_notification_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;NPI_Nested_posted-interrupt_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;RTR_APIC_ICR_read_retries_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;NPI_Nested_posted-interrupt_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;TRM_Thermal_event_interrupts_CPU0;CAL_Function_call_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;RES_Rescheduling_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;6_IO-APIC_6-edge_floppy_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;1_IO-APIC_1-edge_i8042_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;LOC_Local_timer_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;1_IO-APIC_1-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;TRM_Thermal_event_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;IWI_IRQ_work_interrupts_CPU2;MIS_CPU0;MCE_Machine_check_exceptions_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU1;6_IO-APIC_6-edge_floppy_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;THR_Threshold_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;THR_Threshold_APIC_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;RES_Rescheduling_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;CAL_Function_call_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;TLB_TLB_shootdowns_CPU2;TRM_Thermal_event_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;PIN_Posted-interrupt_notification_event_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;SPU_Spurious_interrupts_CPU0
0;0;0;0;0;0;0;93;0;0;0;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;224809;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;14;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;222773;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36765;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1001705;0;0;0;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;225060;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;14;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;223025;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36765;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;2002725;0;0;0;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;225312;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;14;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;223275;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36765;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;3003745;0;0;0;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;225563;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;14;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;223525;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36770;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;4003889;0;0;0;16;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;225815;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;16;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;223775;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;5004904;0;0;0;17;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;226066;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;17;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;224025;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;6005919;0;0;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;226317;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;17;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;224276;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;7006935;0;0;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;226568;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;18;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;224526;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;8007879;0;0;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;226819;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;18;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;224776;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;9008894;0;0;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;227070;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;18;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;225026;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;10009904;0;0;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;11;0;0;7;0;0;0;0;0;0;227321;0;0;10528;0;0;0;0;0;0;0;0;0;1;0;10529;18;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;9;0;225277;0;0;0;0;0;0;0;15;3;0;0;0;0;1;0;0;36773;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
