24_PCI-MSI_49152-edge_igb_uio_CPU2;MIS_CPU0;PMI_Performance_monitoring_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;THR_Threshold_APIC_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;CAL_Function_call_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;timestamp_us;24_PCI-MSI_49152-edge_igb_uio_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;12_IO-APIC_12-edge_i8042_CPU0;IWI_IRQ_work_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;ERR_CPU0;MCE_Machine_check_exceptions_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;LOC_Local_timer_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;PMI_Performance_monitoring_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;NMI_Non-maskable_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;PIN_Posted-interrupt_notification_event_CPU2;NPI_Nested_posted-interrupt_event_CPU0;6_IO-APIC_6-edge_floppy_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU1;1_IO-APIC_1-edge_i8042_CPU1;PIN_Posted-interrupt_notification_event_CPU0;MCP_Machine_check_polls_CPU2;MCP_Machine_check_polls_CPU1;RES_Rescheduling_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;THR_Threshold_APIC_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;MCE_Machine_check_exceptions_CPU2;SPU_Spurious_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;RTR_APIC_ICR_read_retries_CPU2;SPU_Spurious_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;6_IO-APIC_6-edge_floppy_CPU0;RTR_APIC_ICR_read_retries_CPU0;CAL_Function_call_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;RES_Rescheduling_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;MCP_Machine_check_polls_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;12_IO-APIC_12-edge_i8042_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;RTR_APIC_ICR_read_retries_CPU1;TRM_Thermal_event_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;12_IO-APIC_12-edge_i8042_CPU1;LOC_Local_timer_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;NMI_Non-maskable_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;TLB_TLB_shootdowns_CPU0
0;0;0;0;0;3;0;0;20;0;0;0;90;0;0;15;0;0;0;0;0;20;0;0;246081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36864;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;243968;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;20;0;0;0;1001683;0;0;15;0;0;0;0;0;20;0;0;246332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36864;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;244219;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;20;0;0;0;2002702;0;0;15;0;0;0;0;0;20;0;0;246584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36864;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;244469;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;21;0;0;0;3002951;0;0;15;0;0;0;0;0;20;0;0;246835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36869;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;244719;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;21;0;0;0;4003966;0;0;15;0;0;0;0;0;21;0;0;247087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;244969;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;23;0;0;0;5004982;0;0;15;0;0;0;0;0;22;0;0;247338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;245220;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;23;0;0;0;6005992;0;0;15;0;0;0;0;0;22;0;0;247589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;245470;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;24;0;0;0;7006948;0;0;15;0;0;0;0;0;22;0;0;247840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;245720;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;24;0;0;0;8007961;0;0;15;0;0;0;0;0;22;0;0;248091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;245970;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;24;0;0;0;9008972;0;0;15;0;0;0;0;0;22;0;0;248342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;246221;0;0;0;10528;0;0;0
0;0;0;0;0;3;0;0;24;0;0;0;10009986;0;0;15;0;0;0;0;0;22;0;0;248593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;1;0;0;0;0;3;36883;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;10529;0;0;126160;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;246471;0;0;0;10528;0;0;0
