1_IO-APIC_1-edge_i8042_CPU0;LOC_Local_timer_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;RTR_APIC_ICR_read_retries_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;TLB_TLB_shootdowns_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;THR_Threshold_APIC_interrupts_CPU1;timestamp_us;NPI_Nested_posted-interrupt_event_CPU0;NPI_Nested_posted-interrupt_event_CPU1;RES_Rescheduling_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU1;TRM_Thermal_event_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;PIN_Posted-interrupt_notification_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;TLB_TLB_shootdowns_CPU1;12_IO-APIC_12-edge_i8042_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;TRM_Thermal_event_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;6_IO-APIC_6-edge_floppy_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;MCP_Machine_check_polls_CPU1;NMI_Non-maskable_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;PMI_Performance_monitoring_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;LOC_Local_timer_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;MCP_Machine_check_polls_CPU0;RTR_APIC_ICR_read_retries_CPU1;THR_Threshold_APIC_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU0;ERR_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;MIS_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;1_IO-APIC_1-edge_i8042_CPU2;NMI_Non-maskable_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;LOC_Local_timer_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;CAL_Function_call_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;SPU_Spurious_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;MCP_Machine_check_polls_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;12_IO-APIC_12-edge_i8042_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;THR_Threshold_APIC_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;MCE_Machine_check_exceptions_CPU0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26;0;0;1;265070;0;0;1;0;0;0;0;0;0;0;0;0;36927;0;0;0;0;3;24;0;0;0;0;267262;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;1001701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26;0;0;1;265322;0;0;1;0;0;0;0;0;0;0;0;0;36927;0;0;0;0;3;24;0;0;0;0;267513;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;2002718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26;0;0;1;265572;0;0;1;0;0;0;0;0;0;0;0;0;36927;0;0;0;0;3;24;0;0;0;0;267765;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;3003740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;27;0;0;1;265822;0;0;1;0;0;0;0;0;0;0;0;0;36934;0;0;0;0;3;24;0;0;0;0;268016;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;4003840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;28;0;0;1;266072;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;26;0;0;0;0;268268;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;5004854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;29;0;0;1;266322;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;27;0;0;0;0;268519;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;6005871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;1;266573;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;28;0;0;0;0;268770;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;7006879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;1;266823;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;28;0;0;0;0;269021;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;8007831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;1;267073;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;28;0;0;0;0;269272;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;9008841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;1;267323;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;28;0;0;0;0;269523;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
9;126160;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;2;0;10009854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;1;267574;0;0;1;0;0;0;0;0;0;0;0;0;36937;0;0;0;0;3;28;0;0;0;0;269774;0;0;0;0;10529;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;15;0;0;0;0;0;0;0;0;0;0
