NPI_Nested_posted-interrupt_event_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;NPI_Nested_posted-interrupt_event_CPU2;12_IO-APIC_12-edge_i8042_CPU1;IWI_IRQ_work_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU2;ERR_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;1_IO-APIC_1-edge_i8042_CPU2;RTR_APIC_ICR_read_retries_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;RES_Rescheduling_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;MCE_Machine_check_exceptions_CPU0;TRM_Thermal_event_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;CAL_Function_call_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;IWI_IRQ_work_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;TRM_Thermal_event_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;1_IO-APIC_1-edge_i8042_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU0;MCP_Machine_check_polls_CPU0;MCP_Machine_check_polls_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;SPU_Spurious_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;MCP_Machine_check_polls_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;12_IO-APIC_12-edge_i8042_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;LOC_Local_timer_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;IWI_IRQ_work_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCE_Machine_check_exceptions_CPU1;timestamp_us;15_IO-APIC_15-edge_ata_piix_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;RES_Rescheduling_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;SPU_Spurious_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MIS_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;6_IO-APIC_6-edge_floppy_CPU1;NPI_Nested_posted-interrupt_event_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;LOC_Local_timer_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;NMI_Non-maskable_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;THR_Threshold_APIC_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;PIN_Posted-interrupt_notification_event_CPU1;RTR_APIC_ICR_read_retries_CPU1;PMI_Performance_monitoring_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;6_IO-APIC_6-edge_floppy_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;RTR_APIC_ICR_read_retries_CPU0;NMI_Non-maskable_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;CAL_Function_call_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;1_IO-APIC_1-edge_i8042_CPU0
0;0;0;0;0;0;0;286359;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;32;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;288625;0;30;7;0;0;90;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36980;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;286611;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;32;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;288876;0;30;7;0;0;1001691;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36980;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;286861;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;32;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;289128;0;30;7;0;0;2002712;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36980;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;287111;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;33;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;289379;0;30;7;0;0;3003729;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36985;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;287361;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;34;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;289631;0;32;7;0;0;4004746;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;287612;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;35;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;289882;0;33;7;0;0;5005765;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;287862;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;35;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;290133;0;34;7;0;0;6006776;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;288112;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;36;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;290384;0;34;7;0;0;7007727;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;288362;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;36;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;290635;0;34;7;0;0;8008735;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;288613;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;36;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;290886;0;34;7;0;0;9009746;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
0;0;0;0;0;0;0;288863;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;0;3;0;0;0;0;3;0;36;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;291137;0;34;7;0;0;10010761;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;36988;0;2;0;0;0;1;0;0;0;0;0;10529;0;0;9
