32_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;6_IO-APIC_6-edge_floppy_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;1_IO-APIC_1-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;RES_Rescheduling_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NPI_Nested_posted-interrupt_event_CPU1;12_IO-APIC_12-edge_i8042_CPU2;MIS_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;12_IO-APIC_12-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;TRM_Thermal_event_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU2;LOC_Local_timer_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;NMI_Non-maskable_interrupts_CPU1;timestamp_us;10_IO-APIC_10-fasteoi_virtio2_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;6_IO-APIC_6-edge_floppy_CPU2;NPI_Nested_posted-interrupt_event_CPU2;IWI_IRQ_work_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;THR_Threshold_APIC_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;MCP_Machine_check_polls_CPU1;SPU_Spurious_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU2;ERR_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PIN_Posted-interrupt_notification_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;TLB_TLB_shootdowns_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCP_Machine_check_polls_CPU2;MCE_Machine_check_exceptions_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;RES_Rescheduling_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;MCE_Machine_check_exceptions_CPU1;LOC_Local_timer_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU1;6_IO-APIC_6-edge_floppy_CPU0;IWI_IRQ_work_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;TLB_TLB_shootdowns_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;PMI_Performance_monitoring_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;PIN_Posted-interrupt_notification_event_CPU1;RES_Rescheduling_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU2;MCP_Machine_check_polls_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;TRM_Thermal_event_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0
0;0;0;38;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;310201;0;0;10529;0;0;0;86;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37034;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;307860;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;36
0;0;0;38;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;310452;0;0;10529;0;0;0;1001701;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37034;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;308112;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;36
0;0;0;38;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;310704;0;0;10529;0;0;0;2002718;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37034;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;308362;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;36
0;0;0;39;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;310955;0;0;10529;0;0;0;3003543;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37039;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;308612;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;36
0;0;0;40;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;311207;0;0;10529;0;0;0;4004560;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;308862;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;37
0;0;0;41;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;311460;0;0;10529;0;0;0;5005576;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;309113;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
0;0;0;42;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;311712;0;0;10529;0;0;0;6006591;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;309363;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
0;0;0;42;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;311963;0;0;10529;0;0;0;7007535;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;309613;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
0;0;0;42;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;312214;0;0;10529;0;0;0;8008548;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;309863;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
0;0;0;42;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;312465;0;0;10529;0;0;0;9009558;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;310114;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
0;0;0;42;9;0;0;0;0;0;0;0;126160;10528;0;3;0;0;0;0;0;0;0;0;0;0;0;0;312716;0;0;10529;0;0;0;10010571;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37042;0;0;0;0;1;1;0;0;0;0;11;15;0;0;0;310364;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;38
