THR_Threshold_APIC_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;IWI_IRQ_work_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;MCP_Machine_check_polls_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;LOC_Local_timer_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;PIN_Posted-interrupt_notification_event_CPU1;NMI_Non-maskable_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU1;RES_Rescheduling_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;IWI_IRQ_work_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;MCE_Machine_check_exceptions_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU0;timestamp_us;24_PCI-MSI_49152-edge_igb_uio_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;SPU_Spurious_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU1;LOC_Local_timer_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;RES_Rescheduling_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;TLB_TLB_shootdowns_CPU0;TLB_TLB_shootdowns_CPU1;12_IO-APIC_12-edge_i8042_CPU2;RTR_APIC_ICR_read_retries_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;PMI_Performance_monitoring_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;NPI_Nested_posted-interrupt_event_CPU0;TRM_Thermal_event_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;CAL_Function_call_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;ERR_CPU0;RTR_APIC_ICR_read_retries_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;RTR_APIC_ICR_read_retries_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;CAL_Function_call_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;RES_Rescheduling_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;1_IO-APIC_1-edge_i8042_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;PIN_Posted-interrupt_notification_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;MIS_CPU0;CAL_Function_call_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;MCE_Machine_check_exceptions_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;1_IO-APIC_1-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;MCP_Machine_check_polls_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;TRM_Thermal_event_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;6_IO-APIC_6-edge_floppy_CPU1;MCP_Machine_check_polls_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;1_IO-APIC_1-edge_i8042_CPU1;LOC_Local_timer_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU1
0;0;3;3;0;1;0;0;0;1;0;0;0;857949;0;0;0;0;0;0;0;0;0;0;0;2;93;182;0;0;0;0;0;0;0;0;0;853706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38744;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;858200;0;0;0;0;0;0;0;0;0;0;0;2;1001728;182;0;0;0;0;0;0;0;0;0;853958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38744;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;858452;0;0;0;0;0;0;0;0;0;0;0;2;2002745;182;0;0;0;0;0;0;0;0;0;854208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38744;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;858704;0;0;0;0;0;0;0;0;0;0;0;2;3003768;183;0;0;0;0;0;0;0;0;0;854458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38749;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;858956;0;0;0;0;0;0;0;0;0;0;0;2;4004785;184;0;0;0;0;0;0;0;0;0;854708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;859207;0;0;0;0;0;0;0;0;0;0;0;2;5005798;185;0;0;0;0;0;0;0;0;0;854959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;859458;0;0;0;0;0;0;0;0;0;0;0;2;6006815;185;0;0;0;0;0;0;0;0;0;855209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;859709;0;0;0;0;0;0;0;0;0;0;0;2;7007779;186;0;0;0;0;0;0;0;0;0;855459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;859960;0;0;0;0;0;0;0;0;0;0;0;2;8008785;186;0;0;0;0;0;0;0;0;0;855709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;860211;0;0;0;0;0;0;0;0;0;0;0;2;9009801;186;0;0;0;0;0;0;0;0;0;855960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
0;0;3;3;0;1;0;0;0;1;0;0;0;860462;0;0;0;0;0;0;0;0;0;0;0;2;10010812;186;0;0;0;0;0;0;0;0;0;856210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;10529;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10528;0;0;0;0;9;0;0;1;0;0;0;0;0;0;38752;0;1;0;0;0;126160;0;0;7
