CAL_Function_call_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;TRM_Thermal_event_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;MCP_Machine_check_polls_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;LOC_Local_timer_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NMI_Non-maskable_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;THR_Threshold_APIC_interrupts_CPU2;MIS_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;SPU_Spurious_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;TLB_TLB_shootdowns_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;PMI_Performance_monitoring_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;IWI_IRQ_work_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;MCE_Machine_check_exceptions_CPU1;IWI_IRQ_work_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;12_IO-APIC_12-edge_i8042_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;6_IO-APIC_6-edge_floppy_CPU0;CAL_Function_call_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;SPU_Spurious_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;PIN_Posted-interrupt_notification_event_CPU0;timestamp_us;ERR_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;6_IO-APIC_6-edge_floppy_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;1_IO-APIC_1-edge_i8042_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;MCP_Machine_check_polls_CPU0;NPI_Nested_posted-interrupt_event_CPU0;RES_Rescheduling_interrupts_CPU1;LOC_Local_timer_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;PIN_Posted-interrupt_notification_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;RES_Rescheduling_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;PIN_Posted-interrupt_notification_event_CPU2;1_IO-APIC_1-edge_i8042_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;TLB_TLB_shootdowns_CPU1;LOC_Local_timer_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;TRM_Thermal_event_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;RTR_APIC_ICR_read_retries_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;TRM_Thermal_event_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;MCP_Machine_check_polls_CPU1;NPI_Nested_posted-interrupt_event_CPU2;RTR_APIC_ICR_read_retries_CPU0;NMI_Non-maskable_interrupts_CPU0
10528;0;44;0;15;1;0;351566;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;85;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;354058;0;0;0;0;37183;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;44;0;15;1;0;351817;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;1001692;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;354309;0;0;0;0;37183;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;44;0;15;1;0;352067;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;2002711;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;354561;0;0;0;0;37183;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;44;0;15;1;0;352317;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;3003340;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;354812;0;0;0;0;37188;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;45;0;15;1;0;352567;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;4004356;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;355064;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;47;0;15;1;0;352818;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;5005372;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;355315;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;47;0;15;1;0;353068;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;6006382;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;355566;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;48;0;15;1;0;353318;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;7007338;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;355817;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;48;0;15;1;0;353568;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;8008347;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;356068;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;48;0;15;1;0;353819;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;9009358;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;356319;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
10528;0;48;0;15;1;0;354069;9;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;10010376;0;0;0;0;0;0;0;0;0;0;1;0;0;126160;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;356571;0;0;0;0;37191;0;0;0;0;10529;0;0;0;0;0;0;0;0;0;1;0;0;0
