33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCE_Machine_check_exceptions_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;TRM_Thermal_event_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;NPI_Nested_posted-interrupt_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU0;LOC_Local_timer_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;IWI_IRQ_work_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;NPI_Nested_posted-interrupt_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;MCP_Machine_check_polls_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;MCP_Machine_check_polls_CPU0;1_IO-APIC_1-edge_i8042_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;MCP_Machine_check_polls_CPU1;NMI_Non-maskable_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RTR_APIC_ICR_read_retries_CPU1;MIS_CPU0;NMI_Non-maskable_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;NMI_Non-maskable_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;THR_Threshold_APIC_interrupts_CPU1;ERR_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;1_IO-APIC_1-edge_i8042_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;CAL_Function_call_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;TRM_Thermal_event_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;timestamp_us;TLB_TLB_shootdowns_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;6_IO-APIC_6-edge_floppy_CPU0;PIN_Posted-interrupt_notification_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;PMI_Performance_monitoring_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;12_IO-APIC_12-edge_i8042_CPU0;1_IO-APIC_1-edge_i8042_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;NPI_Nested_posted-interrupt_event_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;SPU_Spurious_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TLB_TLB_shootdowns_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;CAL_Function_call_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;2;0;0;80;1910795;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;640133;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1001376;0;0;2;0;0;80;1911975;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;640384;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002070;0;0;2;0;0;80;1913158;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;640634;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3002954;0;0;2;0;0;80;1914339;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;640885;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4003547;0;0;2;0;0;80;1915518;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;641135;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5004154;0;0;2;0;0;80;1916697;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;641385;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6004897;0;0;2;0;0;80;1917877;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;641635;0;0;14043;10808;0
0;0;0;92;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7005697;0;0;2;0;0;80;1919058;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;641885;0;0;14043;10808;0
0;0;0;93;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8006040;0;0;2;0;0;80;1920224;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;642135;0;0;14043;10808;0
0;0;0;94;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9006125;0;0;2;0;0;81;1921396;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;642385;0;0;14043;10808;0
0;0;0;95;0;0;1;0;0;0;0;0;0;0;0;0;308726;0;0;4;3186;0;0;0;0;0;1;0;8888;0;0;0;1;9;0;1;0;0;3;0;0;0;0;0;0;0;0;40924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10006795;0;0;2;0;0;82;1922575;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;5;0;0;642636;0;0;14043;10808;0
