33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;RES_Rescheduling_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;LOC_Local_timer_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;THR_Threshold_APIC_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;TLB_TLB_shootdowns_CPU0;RES_Rescheduling_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;MCP_Machine_check_polls_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;timestamp_us;14_IO-APIC_14-edge_ata_piix_CPU0;1_IO-APIC_1-edge_i8042_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;CAL_Function_call_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;ERR_CPU0;TRM_Thermal_event_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;THR_Threshold_APIC_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;IWI_IRQ_work_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;SPU_Spurious_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;NPI_Nested_posted-interrupt_event_CPU1;PIN_Posted-interrupt_notification_event_CPU0;THR_Threshold_APIC_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;12_IO-APIC_12-edge_i8042_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;NMI_Non-maskable_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;MCP_Machine_check_polls_CPU2;12_IO-APIC_12-edge_i8042_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;SPU_Spurious_interrupts_CPU0;CAL_Function_call_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;IWI_IRQ_work_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;6_IO-APIC_6-edge_floppy_CPU0;SPU_Spurious_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;RES_Rescheduling_interrupts_CPU0;MIS_CPU0;RTR_APIC_ICR_read_retries_CPU2;TRM_Thermal_event_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;6_IO-APIC_6-edge_floppy_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;TLB_TLB_shootdowns_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;MCP_Machine_check_polls_CPU1;NMI_Non-maskable_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;MCE_Machine_check_exceptions_CPU1;TLB_TLB_shootdowns_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;PMI_Performance_monitoring_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;RTR_APIC_ICR_read_retries_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;PIN_Posted-interrupt_notification_event_CPU1;IWI_IRQ_work_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU1
41169;3186;0;0;0;0;0;0;0;2339149;0;0;0;0;0;0;731047;1;0;0;0;98;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2340330;0;0;0;0;0;0;731298;1;0;0;0;1001719;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2341510;0;0;0;0;0;0;731548;1;0;0;0;2002626;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2342691;0;0;0;0;0;0;731799;1;0;0;0;3003557;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2343870;0;0;0;0;0;0;732049;1;0;0;0;4004154;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2345049;0;0;0;0;0;0;732299;1;0;0;0;5004756;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2346228;0;0;0;0;0;0;732549;1;0;0;0;6005356;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41169;3186;0;0;0;0;0;0;0;2347410;0;0;0;0;0;0;732799;1;0;0;0;7006123;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;8888;0
41173;3186;0;0;0;0;0;0;0;2348576;0;0;0;0;0;0;733049;1;0;0;0;8007105;0;0;0;0;0;0;9;10808;0;98;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;0;8888;0
41176;3186;0;0;0;0;0;0;0;2349750;0;0;0;0;0;0;733300;1;0;0;0;9008017;0;0;0;0;0;0;9;10808;0;99;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;8888;0
41176;3186;0;0;0;0;0;0;0;2350929;0;0;0;0;0;0;733550;1;0;0;0;10008621;0;0;0;0;0;0;9;10808;0;102;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14043;0;0;1;15;0;0;0;0;0;0;0;0;4;0;2;0;1;5;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;8888;0
