PIN_Posted-interrupt_notification_event_CPU0;RTR_APIC_ICR_read_retries_CPU1;RES_Rescheduling_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;IWI_IRQ_work_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;TRM_Thermal_event_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;MCE_Machine_check_exceptions_CPU1;CAL_Function_call_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;SPU_Spurious_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;LOC_Local_timer_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;NPI_Nested_posted-interrupt_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;NPI_Nested_posted-interrupt_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;SPU_Spurious_interrupts_CPU1;RES_Rescheduling_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;TLB_TLB_shootdowns_CPU0;MCP_Machine_check_polls_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;6_IO-APIC_6-edge_floppy_CPU2;IWI_IRQ_work_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU2;CAL_Function_call_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;MCP_Machine_check_polls_CPU2;MCE_Machine_check_exceptions_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;1_IO-APIC_1-edge_i8042_CPU0;NPI_Nested_posted-interrupt_event_CPU1;TLB_TLB_shootdowns_CPU2;timestamp_us;24_PCI-MSI_49152-edge_igb_uio_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;RTR_APIC_ICR_read_retries_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;MIS_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;12_IO-APIC_12-edge_i8042_CPU0;IWI_IRQ_work_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;RES_Rescheduling_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;MCE_Machine_check_exceptions_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;ERR_CPU0;1_IO-APIC_1-edge_i8042_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;MCP_Machine_check_polls_CPU1;NMI_Non-maskable_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;THR_Threshold_APIC_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU1;THR_Threshold_APIC_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;PMI_Performance_monitoring_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;6_IO-APIC_6-edge_floppy_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;TLB_TLB_shootdowns_CPU1
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2448371;754220;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;99;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2449552;754471;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;1001486;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2450731;754722;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;2002405;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2451911;754972;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;3003284;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2453091;755222;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;4003884;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2454270;755472;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;5004489;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2455450;755722;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;6005087;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2456630;755972;0;0;0;0;0;0;0;0;41222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;7005846;0;0;0;0;0;0;122;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2457804;756223;0;0;0;0;0;0;0;0;41227;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;8006449;0;0;0;0;0;0;123;0;104;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2458981;756473;0;0;0;0;0;0;0;0;41230;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;9006674;0;0;0;0;0;0;123;0;105;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
0;0;3186;0;0;4;0;0;0;0;0;0;10808;0;0;0;0;0;0;0;2460160;756723;0;0;0;0;0;0;0;0;41230;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14043;0;0;0;0;1;0;0;9;0;0;10007275;0;0;0;0;0;0;125;0;105;0;3;15;8888;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;308726;47
