ERR_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;IWI_IRQ_work_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;LOC_Local_timer_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;MCE_Machine_check_exceptions_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;MCE_Machine_check_exceptions_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;PMI_Performance_monitoring_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;12_IO-APIC_12-edge_i8042_CPU1;PIN_Posted-interrupt_notification_event_CPU2;NMI_Non-maskable_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;RES_Rescheduling_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;PMI_Performance_monitoring_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NMI_Non-maskable_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;MIS_CPU0;RTR_APIC_ICR_read_retries_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;SPU_Spurious_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;12_IO-APIC_12-edge_i8042_CPU0;CAL_Function_call_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;NPI_Nested_posted-interrupt_event_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCP_Machine_check_polls_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;6_IO-APIC_6-edge_floppy_CPU2;IWI_IRQ_work_interrupts_CPU2;RES_Rescheduling_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;6_IO-APIC_6-edge_floppy_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;timestamp_us;8_IO-APIC_8-edge_rtc0_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCP_Machine_check_polls_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;SPU_Spurious_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;THR_Threshold_APIC_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;TRM_Thermal_event_interrupts_CPU0;MCP_Machine_check_polls_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;1_IO-APIC_1-edge_i8042_CPU1;1_IO-APIC_1-edge_i8042_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RTR_APIC_ICR_read_retries_CPU1;THR_Threshold_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;MCE_Machine_check_exceptions_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;1_IO-APIC_1-edge_i8042_CPU2;TLB_TLB_shootdowns_CPU0;CAL_Function_call_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU1;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;CAL_Function_call_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;PIN_Posted-interrupt_notification_event_CPU0
0;0;9325;0;0;0;0;0;310123;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;303846;114;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;311315;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;304097;1000762;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;312507;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;304347;2001070;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;313693;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;304597;3002086;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;314884;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;304847;4002409;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;316073;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;305097;5002858;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;317264;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;305347;6003463;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;318454;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52207;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;305598;7004178;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;319631;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;2;0;52212;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;3;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;305848;8004657;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;320806;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;3;0;52214;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;4;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;306098;9004909;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
0;0;9325;0;0;0;0;0;321997;313727;0;0;0;0;0;0;0;0;0;0;0;0;0;3353;0;0;0;3;0;52214;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;5;1;0;0;0;0;0;4;0;0;0;0;2;0;0;4;306348;10005325;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14198;0;0;0;0;0;0;10843;0;0
