1_IO-APIC_1-edge_i8042_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;LOC_Local_timer_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;NMI_Non-maskable_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;CAL_Function_call_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU2;PMI_Performance_monitoring_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;12_IO-APIC_12-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU2;MCP_Machine_check_polls_CPU1;RTR_APIC_ICR_read_retries_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;6_IO-APIC_6-edge_floppy_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;1_IO-APIC_1-edge_i8042_CPU0;NPI_Nested_posted-interrupt_event_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;ERR_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;RTR_APIC_ICR_read_retries_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;PIN_Posted-interrupt_notification_event_CPU1;TRM_Thermal_event_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;TLB_TLB_shootdowns_CPU2;RES_Rescheduling_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;MCP_Machine_check_polls_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;TRM_Thermal_event_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;IWI_IRQ_work_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;6_IO-APIC_6-edge_floppy_CPU2;MCP_Machine_check_polls_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;NMI_Non-maskable_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;12_IO-APIC_12-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;LOC_Local_timer_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;MIS_CPU0;TLB_TLB_shootdowns_CPU1;SPU_Spurious_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;LOC_Local_timer_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU2;timestamp_us;DFR_Deferred_Error_APIC_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;NPI_Nested_posted-interrupt_event_CPU1
0;0;787578;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2611798;0;0;8;95;0;0;0;0
0;0;787829;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2612992;0;0;8;1001415;0;0;0;0
0;0;788079;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2614185;0;0;8;2001704;0;0;0;0
0;0;788330;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2615371;0;0;8;3002693;0;0;0;0
0;0;788580;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2616558;0;0;8;4003274;0;0;0;0
0;0;788830;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53584;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2617748;0;0;8;5003596;0;0;0;0
0;0;789080;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53585;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2618936;0;0;8;6003964;0;0;0;0
0;0;789330;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;122;0;1;53585;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2620128;0;0;8;7004557;0;0;0;0
0;0;789580;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;1;0;0;0;0;0;0;123;0;1;53590;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2621305;0;0;8;8005406;0;0;0;0
0;0;789830;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;114;1;0;0;0;0;0;0;123;0;1;53593;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2622486;0;0;8;9006068;0;0;0;0
0;0;790080;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;10844;1;0;0;2;0;9;0;0;0;0;0;1;0;3;0;0;0;14241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;115;1;0;0;0;0;0;0;125;0;1;53593;0;0;0;0;0;0;0;0;0;0;0;4;9325;0;0;0;0;0;0;0;3354;0;0;313731;0;0;42;0;0;0;2623675;0;0;8;10006546;0;0;0;0
