RES_Rescheduling_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;THR_Threshold_APIC_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;CAL_Function_call_interrupts_CPU0;MCP_Machine_check_polls_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;MCP_Machine_check_polls_CPU0;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;RTR_APIC_ICR_read_retries_CPU0;12_IO-APIC_12-edge_i8042_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NMI_Non-maskable_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;PMI_Performance_monitoring_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;1_IO-APIC_1-edge_i8042_CPU2;NPI_Nested_posted-interrupt_event_CPU1;RTR_APIC_ICR_read_retries_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;THR_Threshold_APIC_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;RES_Rescheduling_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;NPI_Nested_posted-interrupt_event_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;MIS_CPU0;1_IO-APIC_1-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;TRM_Thermal_event_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;IWI_IRQ_work_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;NMI_Non-maskable_interrupts_CPU1;RES_Rescheduling_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;ERR_CPU0;6_IO-APIC_6-edge_floppy_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;TRM_Thermal_event_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;12_IO-APIC_12-edge_i8042_CPU0;SPU_Spurious_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PMI_Performance_monitoring_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;RTR_APIC_ICR_read_retries_CPU1;LOC_Local_timer_interrupts_CPU1;LOC_Local_timer_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;MCP_Machine_check_polls_CPU1;MCE_Machine_check_exceptions_CPU1;TRM_Thermal_event_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;CAL_Function_call_interrupts_CPU1;timestamp_us;15_IO-APIC_15-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;LOC_Local_timer_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;TLB_TLB_shootdowns_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;NPI_Nested_posted-interrupt_event_CPU0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;834643;0;10844;0;1;0;0;0;0;8;0;14241;97;0;0;2835754;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;834895;0;10844;0;1;0;0;0;0;8;0;14241;1001653;0;0;2836948;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;835145;0;10844;0;1;0;0;0;0;8;0;14241;2002018;0;0;2838141;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;835395;0;10844;0;1;0;0;0;0;8;0;14241;3002995;0;0;2839330;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;835645;0;10844;0;1;0;0;0;0;8;0;14241;4003518;0;0;2840524;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;835895;0;10844;0;1;0;0;0;0;8;0;14241;5003896;0;0;2841714;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;836145;0;10844;0;1;0;0;0;0;8;0;14241;6004331;0;0;2842904;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53688;0;9;9325;0;0;0;0;0;0;1;134;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;836396;0;10844;0;1;0;0;0;0;8;0;14241;7004858;0;0;2844098;0;0;42;0;0
3354;0;0;0;0;0;124;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53693;0;9;9325;0;0;0;0;0;0;1;135;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;836646;0;10844;0;1;0;0;0;0;8;0;14241;8004884;0;0;2845272;0;0;42;0;0
3354;0;0;0;0;0;125;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53696;0;9;9325;0;0;0;0;0;0;1;136;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;836896;0;10844;0;1;0;0;0;0;8;0;14241;9005017;0;0;2846453;0;0;42;0;0
3354;0;0;0;0;0;126;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;53696;0;9;9325;0;0;0;0;0;0;1;137;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;313731;837146;0;10844;0;1;0;0;0;0;8;0;14241;10005562;0;0;2847645;0;0;42;0;0
