32_PCI-MSI_32768-edge_virtio0-config_CPU0;6_IO-APIC_6-edge_floppy_CPU2;RTR_APIC_ICR_read_retries_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;TLB_TLB_shootdowns_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;PIN_Posted-interrupt_notification_event_CPU1;THR_Threshold_APIC_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU1;PIN_Posted-interrupt_notification_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;NMI_Non-maskable_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;TRM_Thermal_event_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;NPI_Nested_posted-interrupt_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;CAL_Function_call_interrupts_CPU2;ERR_CPU0;TRM_Thermal_event_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;6_IO-APIC_6-edge_floppy_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;NMI_Non-maskable_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;TRM_Thermal_event_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;LOC_Local_timer_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU1;THR_Threshold_APIC_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;1_IO-APIC_1-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;MCP_Machine_check_polls_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;6_IO-APIC_6-edge_floppy_CPU0;RES_Rescheduling_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;1_IO-APIC_1-edge_i8042_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;12_IO-APIC_12-edge_i8042_CPU2;MCE_Machine_check_exceptions_CPU2;TLB_TLB_shootdowns_CPU1;IWI_IRQ_work_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;RES_Rescheduling_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;CAL_Function_call_interrupts_CPU0;MIS_CPU0;timestamp_us;NMI_Non-maskable_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;SPU_Spurious_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;RTR_APIC_ICR_read_retries_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;MCP_Machine_check_polls_CPU2;MCE_Machine_check_exceptions_CPU1;IWI_IRQ_work_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;PMI_Performance_monitoring_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;CAL_Function_call_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1748002;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;605998;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;95;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1749194;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;606250;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;1001672;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1750387;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;606500;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;2002096;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1751577;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;606750;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;3003095;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1752766;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;607000;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;4003693;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1753953;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;607250;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;5003919;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1755142;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;607500;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;6004439;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1756334;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;607751;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53049;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;7005224;0;0;0;0;0;74;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1757514;0;0;10844;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;3;608001;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53054;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;8005279;0;0;0;0;0;75;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1758691;0;0;10844;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;3;608251;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53057;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;9005506;0;0;0;0;0;75;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1759879;0;0;10844;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;3;608501;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;53057;2;1;0;0;0;0;0;0;0;0;42;7;0;0;3354;4;0;0;0;0;0;0;10006009;0;0;0;0;0;77;0;0;1;0;9325;15;0;0;0;0;0;0;0;313731;0;14241;0
