IWI_IRQ_work_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;6_IO-APIC_6-edge_floppy_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;IWI_IRQ_work_interrupts_CPU1;MCP_Machine_check_polls_CPU2;RES_Rescheduling_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU2;MCP_Machine_check_polls_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;12_IO-APIC_12-edge_i8042_CPU2;RTR_APIC_ICR_read_retries_CPU1;RES_Rescheduling_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;CAL_Function_call_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;NPI_Nested_posted-interrupt_event_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;MIS_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;12_IO-APIC_12-edge_i8042_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;ERR_CPU0;MCE_Machine_check_exceptions_CPU0;THR_Threshold_APIC_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCE_Machine_check_exceptions_CPU2;MCE_Machine_check_exceptions_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;IWI_IRQ_work_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;LOC_Local_timer_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU2;PMI_Performance_monitoring_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;SPU_Spurious_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;TLB_TLB_shootdowns_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;6_IO-APIC_6-edge_floppy_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;timestamp_us;PIN_Posted-interrupt_notification_event_CPU1;PIN_Posted-interrupt_notification_event_CPU0;12_IO-APIC_12-edge_i8042_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;PMI_Performance_monitoring_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;NMI_Non-maskable_interrupts_CPU1;LOC_Local_timer_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;CAL_Function_call_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;RES_Rescheduling_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;1_IO-APIC_1-edge_i8042_CPU2;TRM_Thermal_event_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;6_IO-APIC_6-edge_floppy_CPU1;NPI_Nested_posted-interrupt_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;SPU_Spurious_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;MCP_Machine_check_polls_CPU0;RTR_APIC_ICR_read_retries_CPU0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;672720;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;95;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2065326;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;672972;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;1001537;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2066519;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;673222;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;2001773;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2067711;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;673472;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;3002565;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2068900;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;673722;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;4003571;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2070094;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;673972;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;5004249;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2071288;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;674222;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;6004546;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2072478;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;674473;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53242;0;7005279;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;92;0;2073672;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;674723;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53247;0;8005688;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;93;0;2074856;0;0;3;86;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;674973;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53250;0;9006346;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;93;0;2076040;0;0;3;88;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;675223;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53250;0;10006724;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;95;0;2077229;0;0;3;89;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;675473;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53250;0;11007571;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;96;0;2078422;0;0;3;89;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;675723;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53250;0;12008478;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;96;0;2079613;0;0;3;90;0;0;0;0;1;0
0;0;2;0;0;9325;1;4;0;0;0;1;0;0;0;1;0;10844;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;675973;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;53250;0;13008759;0;0;15;0;0;0;0;0;14241;0;0;0;0;313731;9;0;0;3354;0;0;0;0;0;0;0;0;0;0;96;0;2080804;0;0;3;90;0;0;0;0;1;0
