timestamp_us;CAL_Function_call_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU2;6_IO-APIC_6-edge_floppy_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;RES_Rescheduling_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;LOC_Local_timer_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;LOC_Local_timer_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;MCP_Machine_check_polls_CPU0;PMI_Performance_monitoring_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU2;MCP_Machine_check_polls_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;TLB_TLB_shootdowns_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;IWI_IRQ_work_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;1_IO-APIC_1-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;12_IO-APIC_12-edge_i8042_CPU0;LOC_Local_timer_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;NPI_Nested_posted-interrupt_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;IWI_IRQ_work_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;CAL_Function_call_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;IWI_IRQ_work_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;PMI_Performance_monitoring_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;1_IO-APIC_1-edge_i8042_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;RTR_APIC_ICR_read_retries_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;12_IO-APIC_12-edge_i8042_CPU1;NMI_Non-maskable_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;MIS_CPU0;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;TRM_Thermal_event_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;RTR_APIC_ICR_read_retries_CPU1;PIN_Posted-interrupt_notification_event_CPU1;MCE_Machine_check_exceptions_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;THR_Threshold_APIC_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;RES_Rescheduling_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;RTR_APIC_ICR_read_retries_CPU2;TRM_Thermal_event_interrupts_CPU0;MCP_Machine_check_polls_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;PIN_Posted-interrupt_notification_event_CPU0;ERR_CPU0;NMI_Non-maskable_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;SPU_Spurious_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;NMI_Non-maskable_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0
95;10844;96;0;2;0;0;3354;0;313731;0;0;718029;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2280905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
1000999;10844;96;0;2;0;0;3354;0;313731;0;0;718280;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2282096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
2001363;10844;96;0;2;0;0;3354;0;313731;0;0;718530;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2283289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
3002196;10844;96;0;2;0;0;3354;0;313731;0;0;718780;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2284480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
4002561;10844;96;0;2;0;0;3354;0;313731;0;0;719030;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2285672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
5002780;10844;96;0;2;0;0;3354;0;313731;0;0;719280;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2286865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
6003159;10844;96;0;2;0;0;3354;0;313731;0;0;719530;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2288057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
7003792;10844;96;0;2;0;0;3354;0;313731;0;0;719780;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2289251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53386;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;104;0;0;0;0;0;3;0;0;0;0;1
8004441;10844;96;0;2;0;0;3354;0;313731;0;0;720031;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2290426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53391;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;105;0;0;0;0;0;3;0;0;0;0;1
9005415;10844;98;0;2;0;0;3354;0;313731;0;0;720281;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2291608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53394;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;105;0;0;0;0;0;3;0;0;0;0;1
10005742;10844;99;0;2;0;0;3354;0;313731;0;0;720531;0;0;1;0;14241;0;0;1;0;0;0;0;0;0;8;0;9;0;0;0;15;2292796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9325;0;0;0;0;0;0;0;0;53394;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;42;0;107;0;0;0;0;0;3;0;0;0;0;1
