1_IO-APIC_1-edge_i8042_CPU1;12_IO-APIC_12-edge_i8042_CPU0;MCP_Machine_check_polls_CPU0;ERR_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;MCP_Machine_check_polls_CPU2;PMI_Performance_monitoring_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;SPU_Spurious_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;6_IO-APIC_6-edge_floppy_CPU2;MCE_Machine_check_exceptions_CPU0;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU1;MCP_Machine_check_polls_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;LOC_Local_timer_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PIN_Posted-interrupt_notification_event_CPU2;12_IO-APIC_12-edge_i8042_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;6_IO-APIC_6-edge_floppy_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;1_IO-APIC_1-edge_i8042_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;timestamp_us;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;NPI_Nested_posted-interrupt_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;RES_Rescheduling_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;TLB_TLB_shootdowns_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;CAL_Function_call_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;LOC_Local_timer_interrupts_CPU1;SPU_Spurious_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;NMI_Non-maskable_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;IWI_IRQ_work_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;RTR_APIC_ICR_read_retries_CPU2;RTR_APIC_ICR_read_retries_CPU0;RTR_APIC_ICR_read_retries_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;12_IO-APIC_12-edge_i8042_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;THR_Threshold_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;TRM_Thermal_event_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;CAL_Function_call_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;TLB_TLB_shootdowns_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;MIS_CPU0;TRM_Thermal_event_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;MCE_Machine_check_exceptions_CPU2
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2500554;0;0;0;0;2;0;116;0;9325;0;0;0;0;98;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;764199;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2501746;0;0;0;0;2;0;116;0;9325;0;0;0;0;1001263;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;764450;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2502938;0;0;0;0;2;0;116;0;9325;0;0;0;0;2001569;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;764700;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2504124;0;0;0;0;2;0;116;0;9325;0;0;0;0;3002233;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;764950;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2505314;0;0;0;0;2;0;116;0;9325;0;0;0;0;4002523;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;765201;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2506506;0;0;0;0;2;0;116;0;9325;0;0;0;0;5002732;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;765451;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2507696;0;0;0;0;2;0;116;0;9325;0;0;0;0;6002899;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;765701;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2508888;0;0;0;0;2;0;116;0;9325;0;0;0;0;7003447;53491;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;765951;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2510063;0;0;0;0;2;0;117;0;9325;0;0;0;0;8004344;53496;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;766201;0;0;4;0;0;0;106;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2511246;0;0;0;0;2;0;117;0;9325;0;0;0;0;9005173;53499;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;766451;0;0;4;0;0;0;108;0
0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;2512436;0;0;0;0;2;0;119;0;9325;0;0;0;0;10006076;53499;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14241;3;313731;0;0;0;42;0;0;0;0;0;0;0;3354;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10844;0;0;0;0;0;766701;0;0;4;0;0;0;109;0
